,tweets
29,"""@mkraju @alizaslav The Proud Boys very clearly got Trump's message at the debate and have acknowledged they are \"""
30,"""🚨IMPORTANT NOTE:🚨 Twitter will be suspending people for directly wishing harm to trump as a result of COVID-19. Not sure if it extends to others as well. Just don't do it.\n\nBE SMART. BE DECENT.\n\nSPREAD THE WORD."""
31,"""Goveners who do this to their people should be jailed!\nThis is clearly a spiteful attempt to sway the out come of an election and that’s TAMPERING! #VoteHimOut"""
32,"""👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻\n https://t.co/VeCMzDeJA2"""
33,"""@1BLUEWAVE2020 😥🤦💔 #VoteBlue2020 #VoteHimOut AND thank you for the follow @1BLUEWAVE2020 👏👏👏🇺🇸🇺🇸🇺🇸😍"""
34,"""Welp, now we know racism doesn’t prevent Covid-19. #TrumpHasCovid #TrumpIsRacist"""
35,"""Let me get this straight. Pres Trumps family refused to wear masks at debate even when asked by Cleveland Clinic reps. Pres still goes to NJ fundraiser after knowing Hope Hicks tested positive. At Supreme Court presser attendees shook hands, hugged &amp; were maskless. How selfish."""
36,"""@realDonaldTrump Your definition of \"""
37,"""Just answer me this: WAS BILL BARR at the super spreader event?????? I NEED to know!!!!!!!"""
38,"""#GOPSuperSpreaders  Coming November 3rd to a polling station near you. #VoteHimOut #VoteThemAllOut https://t.co/JDzoE405As"""
39,"""@chipfranklin E - all of the above.  But for FFS, #VoteHimOut !!!!"""
40,"""The only people who don't denounce white supremacists when given a clear and unambiguous chance to do so are other white supremacists.\n\n#TrumpIsRacist \n\n#TrumpIsAWhiteSupremacist"""
41,"""#VoteHimOut Heck vote BOTH out!!!"""
42,"""Chris Wallace asked President Trump during Tuesday's debate whether he was willing \"""
43,"""I fear Trump’s #COVID19 diagnosis will be a disaster. He’ll be fine: early diagnosis, 24h care, early remdesivir and Covid antibodies. He’ll get better &amp; say Covid is no big deal. People will believe him, let down their guard, and 100Ks will die when they can’t get the same care."""
44,"""No, definitely haven't forgotten. #VoteHimOut"""
45,"""This is a KKK recruitment flyer, and that at the top in bold letters is the name of Donald Trump. https://t.co/hAXiUvD2Dd"""
46,"""@KaivanShroff KY 🚨 @senatemajldr doesn’t care about your lives or the lives of the rest of the great people in this country. All he cares about is ramming thru another ill gotten SCOTUS seat. #VoteHimOut \n@AmyMcGrathKY cares about all people. https://t.co/2t3cFnqqbS"""
47,"""@MSNBC “Stand by”??? This white supremacist is literally holding “his troops” back and claiming them as his own!!! #Trumpisracist       #Debates2020"""
48,"""Yeah, nah. I like democracy. #VoteHimOut #VoteBlueToSaveAmerica"""
49,"""JUST IN: Fmr. Trump adviser Kellyanne Conway says in tweet that she has tested positive for Covid-19. https://t.co/qCVqs21YSl"""
50,"""COVID-19: How to protect yourself? #VOTE \n#VoteHimOut \n#VoteBlueToEndThisNightmare https://t.co/5HpXWhgRIB"""
51,"""#VoteHimOut \n\nGive me a f---ing break!’ First Lady Melania Trump says about children separated from parents at border in talk recorded by aide https://t.co/b9XFd2siLC https://t.co/YflNt4OLVN"""
52,"""My statement regarding the President’s nomination of Judge Amy Coney Barrett to be an associate justice of the U.S. Supreme Court: https://t.co/R9JGiNOzEV"""
53,"""Look what I got today!!! \n#VoteBidenHarris2020  #VOTE \n#VoteHimOut https://t.co/oC9nIEIVOF"""
54,"""These are @realDonaldTrump's best people! #VoteHimOut"""
55,"""\"""
56,"""@MeidasTouch These are his kinda “patriots” And apparently Ann Coulters as well. #TrumpIsRacist #TrumpIsRiggingTheElection https://t.co/JqU67I1wGV"""
57,"""Absolutely the correct decision. The existence of our democracy and nation are at stake. Let’s do this. #VoteHimOut #VOTE"""
58,"""Contradicting public health professionals, @realDonaldTrump has just told the Al Smith Dinner in recorded remarks that the end of the pandemic is in sight."""
59,"""The Biden campaign has made clear that it was never contacted about Trump's positive COVID result. If Trump tested positive the morning after the presidential debate, it is remarkably irresponsible to have not contacted the Biden campaign. What is their excuse?"""
60,"""Trump told white supremicists to “stand by.” Well us Veterans are standing by too. You’ll have to go through us to get to them. #VoteHimOut\n\nI’ll follow you back if you follow me\nPlease \n1 Follow\n2 Retweet\n3 Like\n4 Reply\n5. Party!\n\n#FBR\n#Resist\n#TakeAKnee\n#InsultANazi\n#BlueWave"""
61,"""Biden REFUSED to use the term, LAW &amp; ORDER! There go the Suburbs."""
62,"""“Stand back and stand by”\nTrump gives a shout out to a White Supremacist group that has been banned by Facebook and Twitter  -  disgusting and despicable.  Anyone that votes for Trump now is voting for terrorism and against democracy.  #TrumpMeltdown #TrumpIsARacist https://t.co/d6wTW9QYLr"""
63,"""@wjxt4 Trump has no idea what he has done. #TrumpIsTheWORSTPresidentEVER #Trumpisracist"""
64,"""Which is worse?\n\nA) Infecting half your party with a deadly virus\n\nB) Not paying taxes 10 out of 15 years\n\nC) Trying to take away our healthcare during a deadly pandemic\n\nD) Not voting in 2020"""
65,"""I'm soo glad that I poured a glass of wine before this debate. Trump just needs to go away 😔 I'm over it with him. #PresidentialDebate #debate #TrumpIsRacist https://t.co/0R99KH6Ppo"""
66,"""BREAKING: Senate Republicans just blocked a vote on a resolution condemning white supremacy."""
67,"""Y’all praying for @realDonaldTrump $ @FLOTUS  for a speedy recovery and they NOT ONE prayed for you and your family unless a camera was on. Has BEEN calling mask and the virus a Hoax but he magically has it &amp; now it’s Real? FOH #VoteHimOut !!"""
68,"""hey. who is running the country right now?"""
69,"""Trump will not condemn white supremacy. You heard it. Do not forget it. #PresidentialDebate #Trumpisracist #Debates2020"""
70,"""On November 3rd, 2020 let’s say GOODBYE to ALL the LIARS occupying the White House. \n\n#TrumpHasCovid \n#VoteHimOut \n#ByeKayleigh https://t.co/X12BMVrGoC"""
71,"""WOW he refused to condemn white supremacy. Instead he said “Stand back and stand by” #Trumpisracist #VoteHimOut"""
72,"""And the #RacistInChief told Proud Boys to stand by... far from condemning them... he just fired up the racists in this country.... \n#TrumpIsRacist"""
73,"""@realDonaldTrump He looks pale, not orange....a bit washed up. #VoteHimOut #karmaisavirus"""
74,"""Biden is pulling all negative ads. \n\nIt’s a good thing this ad is only just the truth.\n\n#95MinutesInTrumpsAmerica 🔥\n\n https://t.co/PVLcuMFE0x"""
75,"""New from Trump’s physician https://t.co/jxaCIN18Lk"""
76,"""If Biden was a gentleman, regardless of what the law says, he should offer to postpone the elections by a year. #TrumpCovid @realDonaldTrump @JoeBiden"""
77,"""@sahilkapur And we suddenly believe the liars? No, I’ll pass. #VoteHimOut #RecklessEndangerment"""
78,"""\"""
79,"""@DrEricDing This picture is a display of disgusting ignorance and spoiled rich brat mentality.  It's like the Hunger Games portrayal of the Capitol above the Districts which in this case are the Democratic states of America.  Na, na, na, na, na, na.  #VOTE   #VoteHimOut"""
80,"""Trump is a rude, obnoxious pig!!! Constantly interrupting Biden and talking over the top of him😡😡😡 #TrumpIsRude #TrumpIsRacist https://t.co/mdsnxNMV7S"""
81,"""#TrumpsAmerica because #TrumpIsRacist"""
82,"""Chris Wallace's debate performance tonight is a great reminder that kindergarten teachers are underpaid. #Debates2020"""
83,"""Wake up America #VoteHimOut"""
84,"""Asked by debate moderator Chris Wallace to condemn white supremacists and militia groups, Pres. Trump replies, \"""
85,"""#95MinutesInTrumpsAmerica \nNo negative ads just the truth \nThanks @Eleven_Films for highlighting the reality we are living in 🔥🔥#VoteHimOut"""
86,"""@washingtonpost Full Stop.  Here’s the real news:\n#TrumpIsRacist\n\nTrump didn’t denounce white supremacy during a national debate on live television \n\nConclusion @washingtonpost if you’re not denouncing trump’s behavior, you’re racist too. https://t.co/uyenbw215l"""
87,"""@ProjectLincoln Oh my God. Twitter do your thing! He needs to be arrested and charged with assault!!! #vote #VoteHimOut"""
88,"""@matthewamiller “Stand by”??? This white supremacist is literally holding “his troops” back and claiming them as his own!!! #Trumpisracist       #Debates2020"""
89,"""@StephenKing May I suggest this lil ditty called #VoteHimOut \nhttps://t.co/0OngBedUwg"""
90,"""They were being targeted as much as a guy who decided to walk right in front of a semi-truck on the interstate.\n#COVID19 #VoteHimOut"""
91,"""When a theory is supported by a plethora of evidence it becomes scientific law, a truth. \n\nTrump is racist. This is TRUTH based on  mounds of evidence- observational &amp; otherwise. \n#debates  #Trumpisracist"""
92,"""Uhm, #racist? No doubt. #whitesupremacist? Absolutely!! #TrumpIsRacist #Trump #TrumpMustGo https://t.co/NtSXSduZhJ"""
93,"""Wow he's already said Pocahontas \n#trumpisracist"""
94,"""Trump claims he's a great president for Black Americans. But he engaged in deterrence and scare tactics to discourage Black voters. #TrumpIsRacist"""
95,"""NOW TRUMP HAS BOTH!! \n#blcktweet \n#MrPresident \n #TrumpHasCovid https://t.co/XNHcsRs5nB"""
96,"""@TBates314 WHAT do you see in this crowd?   \nI don't see the circled heads..\nI don't see the people sitting back..\nI don't see them laughing..\nI see..\nONE BLACK YOUTH,\nleaning forward WITH ATTITUDE.\n#BlackLivesMatter\n#TrumpIsRacist\n#whitehouseblackmarket \n#GOPDeathCult"""
97,"""@DBarkhuff @MalcolmNance Trump meet Karma, \nWith all due respect, Let’s not forget everything Trump has done to destroy the safety of our country. He knew about Covid and he did nothing!\nAnd let’s not forget that he cheated us out of every tax Dollar that he did not pay!\n#VoteHimOut"""
98,"""Donald Trump just praised the Proud Boys, saying \"""
99,"""I agree with @SenatorTimScott statement about President Trump needing to make it clear Proud Boys is a racist organization antithetical to American ideals.  \n\nhttps://t.co/GsAS8Uz1dx\n\n(1/2)"""
100,"""ICYMI: Trump Removes Restrictions on Use of Landmines. LINK: https://t.co/bDd8xaLvi7 #SmartDissent #SupportOurTriips #NoWar #Unbelievable #VoteHimOut https://t.co/TsNxISkkBH"""
101,"""This was a waste of time. And Wallace should be ashamed."""
102,"""Remember that children are not born to hate.\n\nIt takes a steady diet, fed at an early age.\n\nNo Chlorox, UV Light or other fake medicine can fix what created these monsters.\n\nHelp #VoteHimOut and then we can talk. \n\n#DemVoice1 https://t.co/W3vN7emxq8"""
103,"""The President won't condemn White supremacist #Trumpisracist #PresidentialDebate https://t.co/xNtrkYFvJG"""
104,"""@hollyjayewiley @whenipourireign @GaryCoby I believe he's called them\"""
105,"""Why would I allow the Debate Commission to change the rules for the second and third Debates when I easily won last time?"""
106,"""recover &amp; continue to add to his 20K+ lies.  Best wishes to #Trump\naka #OrangeShitGibbon! \nFOLLOW ALL WHO:\n\nLike \nRT\nComment\n\nWe're tired, but we must continue to UNITE &amp; make the FINAL PUSH! \n\n#Resist #VoteHimOut #Biden2020 #COVID #CovidCaughtTrump #WalterReed https://t.co/fVvS63BQrd"""
107,"""@realDonaldTrump @FLOTUS You can treat it with bleach… If that doesn’t work question fingers cross your legs and let’s hope for some warm weather it’s going to suddenly disappear #votehimout https://t.co/1PURnpNs6v"""
108,"""@TMZ Can we hear 👂 it from him and not the White House !!! Cover worse than the crime #TrumpisRacist"""
109,"""@GOP What??? #VoteHimOut https://t.co/vbo8thcN6J"""
110,"""Some thoughts after last nights shit show of a debate...\n\n#TrumpIsRacist https://t.co/Ql4yY3O6Uh"""
111,"""That make me so happy if you like this shirt 🤪\nhttps://t.co/L9DNYuZ3lb\n#TrumpIsRacist"""
112,"""“Proud Boys stand by”? Wtf?\n\n#TrumpIsRacist #Debates2020"""
113,"""This is the last time imma say this because y’all on my nerves. 🗣 RACISM WILL NEVER GO AWAY UNTIL WHITE PEOPLE SEE IT AS A WHITE PROBLEM THEY NEED TO FIX AND NOT A BLACK PROBLEM THEY NEED TO EMPATHIZE WITH. Tuh. #DumpTrump #Debates2020 #Trumpisracist https://t.co/McmKF9xLPr"""
114,"""Karma came through like beep, beep mother fucker!! #TrumpHasCovid  #COVID19 #VoteHimOut https://t.co/vYsmLZZ4Xv"""
115,"""Who died and made #FoxNews the ultimate arbiter of all things?  Do the words,\"""
116,"""Chris Wallace Faces Intense Backlash, Including From Colleagues, Over Bias During Debate https://t.co/C5cEzkdCDO https://t.co/xOI9mjCDVC"""
117,"""Donald Trump - after refusing to denounce white supremacy and to quell concerns about violence around the election - on what will happen if he loses: “This is not going to end well.” #debates2020 https://t.co/XsF9eiOWbc"""
118,"""@realDailyWire Who could’ve done it better?  When a bully comes charging through a room... who doesn’t denounce white supremacy on live national television... Wallace was as shocked as you were #TrumpIsRacist"""
119,"""#SecretService agents expressed their anger and frustration to colleagues and friends Friday, saying that #Trump2020 actions have repeatedly put them at risk. “He’s never cared about us,” one agent told a confidant.” #VoteHimOut  https://t.co/yBZRhGxoK2"""
120,"""#votehimout #GETOVERYOURSELF Mr. President https://t.co/wqh9mREgmu"""
121,"""@maddow This guy is the reincarnation of pure ‘evil’.  He’s scarred than djt who just talks loud. He’s not a strategy thinker, nor cunning like Barr.  Djt is just a habitual liar that only knows how to bully &amp; react! Barr has a spooky brain. #VoteEarly #VoteHimOut"""
122,"""I am 100% not ok with @potus telling the Proud Boys to stand by. It shouldn’t be so hard to denounce white supremacy. #trumpisracist"""
123,"""850 Americans died of COVID-19 yesterday.\nNone got the special “antibody cocktail.”"""
124,"""I think this is what you call a super spreader event. https://t.co/GDVFqckiVt"""
125,"""While President Trump is at Walter Reed, take a look at what life is like for the rest of us every 95 MINUTES IN TRUMP’S AMERICA!!\n\nShare far &amp; wide ❤️\n\n#95MinutesInTrumpsAmerica  🔥\n\n https://t.co/PVLcuMFE0x"""
126,"""You are a cancer.  You are a vile  and disgusting human being who has made herself a multimillionaire preying on the weak and stupid. You are a racist and a fascist. FDR said “judge me by my enemies”. I am delighted to be yours. Trump will lose.  He will be disgraced and one"""
127,"""#VoteHimOut #VOTE don't let this idiot win please I'm begging you go vote https://t.co/QZHwtWjKtJ"""
128,"""Trump wants a new drug #HueyLewis #TrumpHasCovid #VoteHimOut https://t.co/rBeSYrNb1a"""
129,"""It’s going great in the United States! #VoteHimOut https://t.co/j1vz2iceg8"""
130,"""#CNN #MSNBC TERRIFIED With #Trump Out of NewsCycle. They'll Be Covering \"""
131,"""Sickening. #Trumpisracist"""
132,"""@LindaMLC I just hope Americans will get out and vote. #VoteHimOut  #VoteBlueToSaveAmerica"""
133,"""@realDonaldTrump You couldn’t name a single white supremacy group that you would denounce.\n#BidenWonTheDebate \n#TrumpIsRacist https://t.co/Tu1fMXBtEJ"""
134,"""@IngrahamAngle Love NY and NJ ❤️ BYEDON! #VoteHimOut #dumptrump"""
135,"""Putting this here just in case... 🤞🏽#VoteHimOut https://t.co/oCUAX7Mg16"""
136,"""@BetteMidler I think he should suspend it permanently.                                #VoteHimOut #VoteBlue2020"""
137,"""#TrumpIsRacist would not condemn white supremacy in front of the entire world. Ample chances to do and he wouldn’t. If this doesn’t sway your vote, nothing will. #SaveDemocracy #VOTEBIDEN"""
138,"""@DonaldJTrumpJr #TrumpIsRacist \nHe still hasn't denounced any white supremacist groups...🤔"""
139,"""\"""
140,"""BAHAHA he should’ve listened 🤷🏽‍♀️🤣 @iamcardib #VoteHimOut #VOTE https://t.co/AzyQts2YbO"""
141,"""My first post on this soon-to-be NSFW account is to tell people to VOTE VOTE VOTE. PLEASE! It's never been as important as this year, but from this year forward please vote as much as you can locally and nationally! #VOTE #VoteHimOut"""
142,"""@Alyssa_Milano “Stand by”??? This white supremacist is literally holding “his troops” back and claiming them as his own!!! #Trumpisracist       #Debates2020"""
143,"""WOULD NOT DENOUNCE WHITE SUPREMACISTS FOLKS. HE HAD THE CHANCE TO AND HE FUCKING DIDN'T.  \n\nDON'T EVER COME AT ME AND SAY HE DOESN'T, BECAUSE HE. COULDN'T.  EVEN. SAY. IT. NOW. \n\n#PresidentialDebate #TrumpIsRacist"""
144,"""@JDiamond1 @Yamiche “Stand by”??? This white supremacist is literally holding “his troops” back and claiming them as his own!!! #Trumpisracist       #Debates2020"""
145,"""@realDonaldTrump You turned the debate into a shitshow because you were rude &amp; couldn't follow any of the basic debating rules!\n\nYou lost the debate in my opinion... especially when you told the Proud Boys to \"""
146,"""Those dog whistles still work on some. That’s how he became president #Debate2020 #Trumpisracist"""
147,"""@TweetChik #VoteHimOut  and stop #SuperSpreader  https://t.co/KJivmZ3Lus stop white supremacy. And protect health care."""
148,"""@realDonaldTrump Is it possible he can have a setback cause it was nice while it lasted .. #HeKnew #VoteHimOut #TrumpsVirus 🤣😂🦠🦠 https://t.co/4Wd0cgIhiz"""
149,"""Trump called racial sensitivity \"""
150,"""My heart breaks for every person of color out there tonight.  We have no leadership. \n\nOur president refused to condemn white supremacy.  \n\nHe refused to condemn white supremacy.  \n\nI am ashamed.  I am so sorry for those of you who dont feel heard.  \n#Debates2020 \n#trumpisracist"""
151,"""Done and done. #VOTE #VoteHimOut #VoteBidenHarris2020 https://t.co/NOkhSGsJgp"""
152,"""@mmpadellan He’s an expert at sucking...up oxygen.  #VoteHimOut"""
153,"""Opinion | Trump did get one thing right: This isn’t going to end well https://t.co/Zi2kijzEbk"""
154,"""Make him famous."""
155,"""#TrumpIsBroke #Trumpisracist  It was, as Kamala said, no dog whistle...a bullhorn."""
156,"""Xi Jingping is LAUGHING @realDonaldTrump . #VoteHimOut"""
157,"""What if trump dies?"""
158,"""one more qualification in @realDonaldTrump's eye! Can anyone nam a single honest person among the people Trump nominates?? #VoteHimOut #VoteHimOut"""
159,"""This is disgusting \n\n#TrumpIsRacist \n#VoteHimOut"""
160,"""Official says masks will still not be mandatory at the White House, even after president tested positive for the virus. The official described facial coverings as “a personal choice,” despite overwhelming evidence that they help stop spread of virus.  https://t.co/l9wGB4pTVj"""
161,"""@people In other news... Trump did not denounce white supremacy on live national television. Whatever else was said is irrelevant.  Trump is unfit for office #TrumpIsRacist \n\nAnd if you’re not denouncing trump’s behavior, you’re a racist too.\n\n#WeAreBetterThanThis #VoteBlue https://t.co/rDjFT77aa0"""
162,"""Warzone &amp; WhiteHouse #callofduty #CallofDutyModernWarfare #VoteHimOut \nhttps://t.co/Y6xrsszi8v"""
163,"""why do I get this horrible feeling he knew again he knew he was contagious and went forth,Trump has no honor whatsoever!!#VoteHimOut"""
164,"""The coronavirus exposed Trump's 'America First' doctrine for the terrible idea it is.\n\nIntroduced at his inauguration, it’s particularly pathetic as we face anguish, ineptitude, and seek assistance from abroad.\n\n#VoteHimOut\n\n#GTCBlue\n#GTCB123\nhttps://t.co/ldKbEKk2jg"""
165,"""2 things @realDonaldTrump is great at: branding and racism. I wonder if they're gonna cut him in for a percentage of the profits. #Debates2020"""
166,"""Please watch this 10 million times. #Debates2020"""
167,"""the Proud Boys just made Trump's encouraging words for them -- uttered during a national televised debate -- into a graphic with their logo https://t.co/Y5M6CkN2AH"""
168,"""@SteveSchmidtSES I would get such satisfaction seeing a complete landslide election where Trump gets annihilated in a humiliating defeat. So he can clearly see that your beloved country...Well, Pretty much hates you!! 😷 #VoteHimOut #WeAllMustVote https://t.co/oDZrnQD5wA"""
169,"""OMG Trump refused to condemn white supremacy. #TrumpisRacist"""
170,"""@realDonaldTrump Trump is “a pox  on our head”!  Donald  is \n     “THE AMERICAN    TRAGEDY” 🇺🇸🇺🇸🇺🇸#VoteHimOut #TheResistanceIsGrowing #RepublicansForBiden https://t.co/dqQj4Kwddk"""
171,"""Donald Trump won't condemn white supremacists because he is one."""
172,"""The Proud Boys, a far-right extremist group, are celebrating tonight after President Trump told them to \"""
173,"""\"""
174,"""Don’t wish death on Trump.\n\nWish him a long life in prison after justice and court cases have found him guilty for his criminal behaviour."""
175,"""@TimScottSC Trump wouldn’t denounce white supremacy. He has given a rallying cry to the Proud Boys. Your party’s silence=complicity. Who are you? What kind of man did your parents raise? What example are you setting for your children? #wakeup #TrumpIsRacist"""
176,"""Sure, I’ll call them out. Name them. Doesn’t,Turns and blames the Dems. #Trumpisracist"""
177,"""@jillianUSA2020 @JoeBiden You should probably send a memo to them for the correction. https://t.co/CWnA4QOiOT"""
178,"""Trump still won’t condemn white supremacists!!! Not surprising!! #VoteHimOut #Trumpisracist also a #brokeasspresident 👊🏽👊🏾👊🏼👊🏿🖕🏼🖕🏼🖕🏼"""
179,"""Stand back and stand by. Something needs to be done about antifa is NOT a condemnation of white supremacy. #Debates2020 #Trumpisracist"""
180,"""Astounding that Biden won't answer the simple question of whether he'd pack the Supreme Court"""
181,"""He still refused to condemn white supremacists #TrumpIsRacist #PresidentialDebate2020"""
182,"""Biden during debate: “The Green New Deal is not my plan!” \n\nBiden website: “Biden believes the Green New Deal is a crucial framework…”"""
183,"""@Channel4News WOW. Totally believable, yet still made my jaw drop. #TrumpIsRacist https://t.co/yam3yZ9qIW"""
184,"""@axios By the way, did he denounce white supremacists yet?\n\nOf course not.\n\n#TrumpisRacist\n\n#TrumpsLegacy210kDead https://t.co/J2EW1Ibubt"""
185,"""Thank God @JoeBiden and @KamalaHarris are ok!  #VoteHimOut #BidenHarris2020ToSaveAmerica"""
186,"""@LindseyGrahamSC Shut up boot licking idiot. 32 days left until you’re unseated.\n\n#VoteHimOut https://t.co/NH5ZloKGC6"""
187,"""#TrumpIsRacist   TRUMP FIRST PRES SINCE NIXON TO APPOINT NO BLACK COURT OF APPEALS JUDGES IN FIRST TERM. Out of  200 circuit appeals court judges appointed by trump in first term, NOT 1 BLACK JUDGE"""
188,"""Got home from Six Flags and doing my civic duty. Gonna drop it off at a ballot box at city hall so as not to add any stress to the Post Office #VoteHimOut #LockHimUp https://t.co/UYlWPbGBvx"""
189,"""The radical left's movement is utterly devoid of any joy."""
190,"""Chris had a tough night. Two on one was not surprising, but  fun. Many important points made, like throwing Bernie, AOC PLUS 3, and the rest, to the wolves! Radical Left is dumping Sleepy Joe. Zero Democrat enthusiasm, WEAK Leadership!"""
191,"""Trump has long stopped being a mere embarrassment. He’s become a clear and present danger to our Democracy. We are now at 34 days until the election. #VoteHimOut - and be ready to take the streets when he refuses to leave.\n\nKeep up with Alamo’s daily thread. Retweet. Follow."""
192,"""✅ True. https://t.co/Ez6jlThISY"""
193,"""@IvankaTrump Your grandpa was arrested at a KKK rally.  Your dad was indicted for racist housing policies.  The he tried to put to death the Central Park 5, who were innocent but minorities. He literally supported Nazis as President. #TrumpIsRacist"""
194,"""\"""
195,"""After watching the entire debate, it is clear Trump knows he is loosing the election and it sure looks like he is setting up a way to steal the election.  What’s the deal with asking the Proud Boys to stand by?#trumpisracist #trumplostthedebate https://t.co/Cyh0QOB1qz"""
196,"""Biden refused to denounce Antifa\nhttps://t.co/FtT6PnJayQ"""
197,"""I just got my mail-in ballot today and we're sending them out tomorrow morning. If you're mailing in your ballot, be sure to do it as early as possible and to track it! #VoteHimOut https://t.co/bHQksKIDO7"""
198,"""#Trump2020 couldn’t protect himself his family or his staff. And he can’t protect America. #VoteHimOut #VOTE https://t.co/NYK9Klw7fk"""
199,"""Trump America.\n#TrumpIsRacist \n#FactsMatter"""
200,"""BREAKING: Don’t be fooled. The message is clear. \nThe steps have been taken. #TrumpsOnlyPlan is to rule our country.\n\nInspired by @ETemelkuran's book: How to Lose a Country https://t.co/e0u5hIHeNy"""
201,"""It’s like my head was about to spin off watching this and the debate. \n\nTrump is a child that wants to tear down the country with complete chaos. His time in office is done, this depiction shows exactly why we must #VoteHimOut. \n\n#95SecondsInTrumpsAmerica\nhttps://t.co/AJns1U3wqE"""
202,"""#trump racial sensitivity training is racist!  Bahaha!  #Trumpisracist #Debatenight"""
203,"""#TrumpLandslide2020 - Got that right, this country is slipping right into the North Atlantic Ocean to drown us all 😳😳😳 #LockHimUp #VoteHimOut"""
204,"""The tapes were recorded by Stephanie Winston Wolkoff.\n\n\"""
205,"""Good morning, y’all \n#TrumpHasCovid #TrumpVirus #VoteHimOut https://t.co/GsB7QQUc2n"""
206,"""Brad \"""
207,"""Trump knows the only things holding him up are corporations trying to squeeze more money and RACIST HATE GROUPS.  And hairspray.\n#Trumpisracist"""
208,"""Because trump IS a white supremacist. He told everyone that last night when he claimed leadership of the proud boys and gave them orders to \"""
209,"""Reminder: Trump &amp; the rotten GOP refused the Democrats (including VP nominee Kamala Harris) requests to reopen Obamacare enrollment for coronavirus. He left millions of unemployed without health care in pandemic. #TrumpHasCovid #VoteHimOut #BidenHarris2020\nhttps://t.co/b5BTeJErYO"""
