,tweets,
25,"""Donald Trump’s Latest Coronavirus Comment Slammed As ‘So Cruel And Cynical’ https://t.co/90fETEJ0DE Hey #TrumpSupporters did YOU know your #DisgustingPeople HAHA Keep Supporting the #Moron #DumpTrumpDayNov3 #NotMYPresident #TrumpLiesAmericansDie #Trump #RepublicansForBiden""",0
26,"""@RepMaxineWaters @realDonaldTrump been fighting with #DirtyDemocrats since elected! Inciting violence 2 #TrumpSupporters, racial division, condoning riots, burning businesses, supp #BLM, inciting hate/violence 2ward police officers, etc. #Republicans DO NOT BACK DOWN! https://t.co/KdhfEK3m2E""",1
29,"""#72hours? so @realDonaldTrump came to #NewJersey to engage with &amp; infect #TrumpSupporters and @TrumpBedminster staff at a fundraiser after he was diagnosed?\n\n#Trump doesn't care about anyone, #America.\n\ncc: @PressSec @WhiteHouse @TeamTrump @NJGov""",0
30,"""The MAGA faithful is with our President! 🇺🇸❤️ https://t.co/fZ0JpRr6xe""",1
31,"""#TrumpSupporters:\n\nThe late Rep. #JohnLewis (D-GA) told us to vote.\n\nSo...come Trump and Confederate flags, open carry, and screaming Karens at the polls, we will vote.  #VoterIntimidation isn't going to work.\n\nDempsey\n\nP.S.  Liberals look for #GoodTrouble. https://t.co/ts1heHhjBO""",1
32,"""And all we keep hearing from the left and MSM is \""",2
33,"""If Nancy Pelosi tries to impeach President Trump for appointing a Supreme Court Justice—as the Constitution requires him to do—we will take steps to remove her as Speaker. https://t.co/NIJMgcBbii""",1
34,"""#VoteTrump2020ToSaveAmerica #MakeAmericaGreatAgain #AmericanFreedomForRepublican Mr President @realDonaldTrump my hopes prayers for you and your wife you may God bless for United States of America🇺🇸 ✝✡❤🐘🙏🏻 https://t.co/18Qr3NmK2H""",1
35,"""The start of another long work week. I hope all you #TrumpSupporters have a great day! 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🌵😎""",1
36,"""BREAKING: The Governor just announced gas powered cars will be banned in California by the year 2035.\n\nUhaul trucks are about to be very hard to come by.""",2
37,"""#BreakingNews \n\nRepublicans found to have deformed DNA!\n\n#TrumpSupporters:\n*Deny #Science - Accept imaginary beings\n*Racist &amp; Sexist Tendencies #Charlottesville \n*Willingness to sell out US #RussianRepublicans\n*#Hypocrites #RBG \n*Anti-#Environment\n\nSolution: Drop From VOTER ROLLS https://t.co/K2lHWMRoqQ""",0
38,"""i’m so hurt 😢 they just look stupider each time they say something  #TrumpSupporters https://t.co/Hk8U4U6G2j""",0
39,"""@realDonaldTrump Naughty naughty sleepy joe! You got caught cheating! #DrainTheSwamp #Trump2020LandslideVictory https://t.co/O157H5rVRb""",1
40,"""We stand TOGETHER for this FIGHT.\n\nW......!!!\n\n✔️  R  &amp;  . \n\n#MAGA #MIGA\n#PlanB""",2
41,"""Team-GO TRUMP! #MakeAmericaGreatAgain https://t.co/xmCVaYw0Ft Honored to their colours with Homin and whiff the poghue like""",1
44,"""@marklevinshow #MAGA+A 😂😂ENDLESS🤣BULL☠️SHIT😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂SAME👌🏻TIRED👌🏻OLD👌🏻RANTING🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂your life is NOW and FOREVER a joke...🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂😂🤣😂🤣😂🤣😂🤣😂🤣😂DESPERATE☠️IDIOT☠️LOSER☠️🇺🇸☠️ https://t.co/SCwcP9ZkPs""",2
45,"""@realDonaldTrump #maga #trump #kag #donaldtrump #conservative #republican #usa #makeamericagreatagain #wwg #qanon #wga #america #keepamericagreat #trumptrain #draintheswamp #politics #a #americafirst #walkaway #freedom #thegreatawakening #buildthewall #q  #trumpsupporters #bhfyp""",1
46,"""Please read me correctly- I don’t want him to die - I just do not care if he is dead or alive. I want Biden as President and I want this bulllshit #MAGA movement to be smashed. His illness doesn’t change that we need to be on attack until Biden is sworn in. And then some. VOTE""",0
47,"""#TrumpTaxReturns #Ohio #TrumpSupporters  What do you think of your so called President now ?  Still don't think he is not a fraud ?""",0
48,"""Why is it assumed the president got the virus while campaigning or doing something irresponsible? He could have gotten it while doing his job at the White House and despite the very tight protections in place there. The media narrative is based on no facts whatsoever.""",0
49,"""Now everytime I hear them say #ProudBoys I’ll envision this 😂\n#MakeAmericaGreatAgain https://t.co/lQE2GUzRV1""",0
50,"""#TrumpSupporters  are the type of mfs to tell Puerto Ricans to go back to their country.""",0
51,"""Praying for a Speedy recovery #Trump2020 #MakeAmericaGreatAgain""",1
52,"""I’m with @realDonaldTrump #MAGA https://t.co/VgfvdDQBX5""",1
53,"""Trump cannot denounce his base? #TrumpSupremacistInChief #TrumpsAmeriKKKa #TrumpSupporters https://t.co/kUd98BfkQN""",0
54,"""I'll pray for all the #healthcareworkers (and their families) who died and are still dying because\n#TrumpLiesAmericansDie \nI'll pray for all the healthcare workers who will die because of #TrumpSuperSpreaders""",0
55,"""I feel so blessed to live in this great country. #maga https://t.co/QESuFpEQpu""",1
56,"""Riding the #TrumpTrain baby on 270 in Cbus 🇺🇲 https://t.co/GmtOMQYQLE""",1
57,"""https://t.co/eullWrX8Am""",2
58,"""Praying for the swift recovery of my father and Melania and for all those impacted by COVID-19.\n\nAs they fight this together, the President will continue to fight for the people of this great country.""",1
59,"""Steve Bannon is on Tucker saying his mission is to stop the Democrats \""",1
60,"""Teen arrested, second suspect sought after ambush of DPS troopers in Phoenix  https://t.co/hKIQMbTUdr No \""",2
61,"""Mark Kelly: Arizona Senate race winner should be sworn in \""",2
62,"""JUST IN: The House overwhelmingly approved, 371-18, a bipartisan resolution condemning the far-right, baseless QAnon conspiracy theory. \n\nThe resolution has no force of law, but it is the first time Congress is on record condemning the conspiracy.""",2
63,"""Mr President are you alright sometimes people’s get creative with the things you had said in the past for example take a look at this #45potus how is the treatment is going #MAGA https://t.co/nm9D6HTpKx""",1
64,"""How many trump supporters do I have to fucking report from that one tweet I did yesterday I mean literally, how many???? #TrumpSupporters #Russiabot #TrumpCovid https://t.co/2V8kVuSiFJ""",0
65,"""#trump #protrump #maga #republican #conservative #usa #conservativememes #america #rightwing #makeamericagreatagain #kag #proamerica #wethepeople #donaldtrump #progun #right #lovetrump #republicanmemes #trumpsupporters #americafirst #prolife #trumptrain #womenfortrump #walkaway https://t.co/YinFsssQqm""",1
66,"""My mom has cancer but she didn’t want to miss riding in the #TrumpTrain in So. Tx! 🇺🇸 @realDonaldTrump @DonaldJTrumpJr https://t.co/oX2uDRugLa""",1
67,"""Trump supporters are calling for a delay in the election. They say it’s not fair be a their candidate has the sniffles.""",0
68,"""These radical liberals have no shame. They are so blatantly hypocritical it’s embarrassing. \n\nNow the Governor of Michigan says #BuildTheWall ——(only around my mansion) \n\nSurely she’s isn’t concerned about any #PeacefulProtests around her home.""",1
69,"""#WalkAway’s #UNSILENT March. See official livestream here: https://t.co/vrxPGyQydp https://t.co/HWLUxJzUfB""",2
70,"""Biden REFUSED to use the term, LAW &amp; ORDER! There go the Suburbs.""",1
71,"""“I brought back 7 hundred thousand jobs, they brought nothing“\n#ArgentinaSupportsTrump 🇺🇸\n#MakeAmericaGreatAgain""",1
72,"""On another note for those of you #TrumpSupporters now you see how important it is to wear a mask. Look at y’all leader https://t.co/a6VpXoLL4t""",0
73,"""You know you want to hear every thing in my environment.\nLet's stop playing\n#BuildTheWall""",1
74,"""Many people at the event to celebrate the @SCOTUS nomination have tested positive.\nNone of them were wearing masks.\nEveryone there needs to quarantine for 14 days.\n4 on the Senate judiciary committee are positive.\n@VP Pence is on the road campaigning.\n#MakeAmericaGreatAgain #MAGA""",0
75,"""Give the #TrumpTrain more gas https://t.co/zpfak1gpqM""",1
76,"""#TrumpSupporters How can it be that 2.5 million would have died from #Covid19, as #Trump says, if it's in fact a hoax? Your leader says 2.5 million would have died, yet you claim 200,000 deaths from #Covid is way over-reporting the number of deaths. #QAnon idiots. #ScienceMatters""",0
77,"""Do you remember what you were doing when you found out that #COVIDcaughtTrump?\n\nPlease add your reply with the hashtag and retweet.""",2
78,"""I wasn't even born yet when Biden was first elected...\n\n#DrainTheSwamp""",1
79,"""@realDonaldTrump Hey #TrumpSupporters @realDonaldTrump thinks if he can keep you SCARED &amp; full of HATE you'll keep believing all of his lies and he can keep DESTROYING, our lives, the country, our democracy, standing in the world and keep being the CORRUPT, LAWLESS, CRIMINAL that he is! WAKE UP! https://t.co/F5GyNxeuIA""",0
80,"""Something tells me, shit's about to get real.""",0
81,"""We all belong! This is wrong legally, morally, ethically, humanely.  #ProudBoys \n#TrumpSupporters \n#TrumpLied200KAmericansdied \n#TrumpIsALaughingStock \n#TrumpIsAHeartlessPsychopath \n@F_Trump4Ever""",0
82,"""Check this out Patriots!  Everybody ready for tonight!  All Aboard #TrumpTrain https://t.co/vlRb0Lfcft""",1
84,"""@LoneEagal21 @CLewandowski_ @newconfidence02 Too bad #Progressives fund this nation and #TrumpSupporters are the welfare queens. https://t.co/htlrsaGGHx""",1
85,"""I love how #Trumpsupporters will always be like “I don’t trust medicine and science” but then will go around bragging about a Sky Daddy that grants wishes if you’re good and sends you to an oven if you’re bad. #Conservatives""",0
86,"""Apparently what happens when you dare to speak a #walkaway pro-Trump view in a new pro-Independence party that claims to stand up for free speech in Scotland. I thought we all were free to disagree? \n\n@BrandonStraka @DrKarlynB @TheOfficerTatum @Breaking911 @RickyRebelRocks""",1
87,"""The coronavirus moved on me like a bitch!!!! #MAGA""",2
89,"""Hey folks #RidinWithBiden, Joe is on the #TrumpTrain! https://t.co/XLMMw7iizm""",1
90,"""Navy SEALs change official ethos to be gender neutral, remove ‘brotherhood’ and 'man' - @AmerMilNews""",2
91,"""JUNE ‘16 FBI already spying on Trump 6 months, \nCLINTON JUDGE\nDENIED 1st FISA APP\nw/o dossier\nTrump had promised\n#DrainTheSwamp #LockHerUp\nMUST STOP TRUMP AT ALL COSTS\n1st In 10,000 FISA Apps Denied by Court - DOJ IG Horowitz LEFT THIS OUT of His Report! https://t.co/A9gIkIBkxZ""",0
92,"""President Trump speaking at one of his many successful rallies regarding the Deep State coup attempt, \n“We caught them cold”! \n\nTrump has achieved more in Govt in 47 months than Joe Biden has in 47 years, LET THAT SINK IN FOR A MINUTE!🤔\n\n#DrainTheSwamp\n#TrumpPence2020 \n#VoteGOP https://t.co/dWaKissfTH""",1
93,"""Families reunited in 'Hugs Not Walls' event at U.S.-Mexico border\nEuroTV - 27 Oct 2019\n\n300+ families wore blue shirts while their counterparts wore white ...\n\nVIDEO https://t.co/Q58MNjqlLz\n\n#BuildTheWall #FinishTheWall\n#QuikTake qt-wall-vid-157 by #borderObserver https://t.co/GziVjr8lX1""",0
94,"""Is this god or a publicity stunt? #MakeAmericaGreatAgain""",2
95,"""@realDonaldTrump Trump refuses to denounce #WhiteSupremacy. Not all Trump Supporters are racist, but make no mistake... all racists are #TrumpSupporters. You know that, everyone knows that. #TrumpIsARacist https://t.co/CiA9xeqW3V""",0
97,"""@GovWhitmer Is the new 8ft tall fence around the Michigan governor's mansion \""",2
98,"""This guy is a lying piece of garbage. THAT’S CONFIRMED.  https://t.co/5z2djQYtGr""",2
99,"""Trump's contempt for other people's health and safety has Secret Service agents angry https://t.co/skyiAwVOVy @GOP @Potus #TrumpSupporters #Trumpcovid #TrumpKnewAmericansDied #TrumpSuperSpreaders #GOPSuperSpreaders #GOPCorruptionOverCountry #GOPDeathCult""",0
101,"""We do have a weapon against #COVID19 all we need is to vote #BidenHarris2020 in and @realDonaldTrump out. I believe this is what will #MakeAmericaGreatAgain!!!""",0
102,"""#MakeAmericaGreatAgain\n\nmake sure you guys catch the most important debate of the year Trump vs Chris Wallace https://t.co/dGLMG8HIY3""",2
103,"""You stupid #TrumpSupporters that are blocking #voters are terrorists!! \nWill this never stop? Are you people that inbred that you can’t see what you are doing is wrong? \n#BidenHarris2020""",0
105,"""Stay strong mister President! @realDonaldTrump ‘Stand back, stand by’ #corona #maga https://t.co/0QVNr8sMJm""",1
106,"""✊🏾🌈🛑 RETWEET IF YOU LOVE EQUALITY, JUSTICE AND @JoeBiden! ✊🏾🌈🛑 LETS GET THIS #BIDENBUS GOING GUYS! (aka put the #TrumpTrain to shame.)...Jump in!... https://t.co/SL0O9rY2uR""",0
107,"""Getting ready for the #270TrumpParade tomorrow! It's gonna be YUGE! #OhioTrumpsBiden #BuckeyeNationForTrump #WalkAwayOhio #Cbus #Blexit #Lexit #OhioTrumpParade #OhioForTrump #MAGA #KAG #Trump2020 #KAG2020 🇺🇸 https://t.co/vuFWkwbi6c""",1
108,"""LOOK AT THIS CROWD!!! #WalkAway #Unsilent https://t.co/AaLVs7raIJ""",1
109,"""Almost complete!Just gotta add some finishing touches""",2
110,"""@JLPtalk 1 in 1000 black americans have died because of Trump. #maga #TrumpCovid""",0
111,"""All the #trumpsupporters who were so anti-mask, even taking to guns to protest mask-wearing as though liberals were trying to kill them, are now crying for Trump. Ridiculous. Called it a hoax. Liberals should - and will - call out the hypocrasy and lies. #TrumpHasCovid""",0
112,"""Register to VOTE! Deadline NOW! You are either voting for Capitalism or Socialism 🇺🇸🙏🥇⭐️ #TrumpTrain https://t.co/otxYwcTKnK""",1
113,"""Hmmm. I didn’t even see these numbers mentioned in a news report, but to be fair I also was #BuildTheWall at my house. Wasn’t as great as our Presidents but it’s a work in progress. #COVID19""",1
114,"""The Federalist's Sean Davis says sources tell him CIA Director Gina Haspel has been blocking further \""",2
115,"""realDonaldTrump is asking for more support... let's help him! #MakeDonaldDrumpfAgain #MakeAmericaGreatAgain #Trump2016""",1
116,"""Trump Jr. and Sean Hannity really enjoyed joking about COVID-19 precautions on debate night https://t.co/q3NjvVUqUs @DonaldJTrumpJr @seanhannity #GOPSuperSpreaders #TrumpSupporters #GOPCorruptionOverCountry #GOPHypocrisy #RepublicanCovidCluster #RepublicanVirus""",2
117,"""We’re live NOW and starting SOON!!!Watch LIVE NOW: https://t.co/vrxPGyQydp\n@PeteHegseth @FoxNews""",2
119,"""Can't wait for round two! https://t.co/TVg4P2BmhJ""",2
120,"""POLITICO: President Trump intends to appoint Tom Fitton to D.C. court oversight body which has power to remove certain judges for misconduct in district’s judiciary""",2
121,"""Dutch 🇳🇱 Lawmakers Demand Answers After U.S. Ambassador 🇺🇸 Holds Party For Right-Wing Populists 🤬 At Embassy""",2
122,"""#WhosSideAreYouOn\n#TrumpSupporters\n\nAfter Trump’s night of abhorrent bullying, how can anyone still stand by him?\nhttps://t.co/COtG6LMHZb""",0
123,"""Fox News Pundits scrambling like rats over the last 24 hours trying to spin a new angle... 😂""",2
124,"""Time to live life without worrying about the expectations of others. 🇺🇸#MakeAmericaGreatAgain🇺🇸 https://t.co/0044pyENfh""",1
125,"""Nightmare Scenario: @TomFitton fears the radical left will count votes weeks after Election Day &amp; work with Big Tech to suppress &amp; censor any concerns about voter fraud.  #MAGA #AmericaFirst #Dobbs https://t.co/WeVHik3lJA""",1
127,"""Fucking trump supporters on the over pass with their make America great again hats and American flags! Fuck trump #WalnutCreek  Location  \nel curtola blvd! #trump #TrumpSupporters https://t.co/feuuPLbeTD""",0
128,"""Our GREAT RALLY tonight in Pennsylvania. Tremendous energy! #MAGA https://t.co/kL29rJe6sh""",1
129,"""Today we meet at Freedom Plaza in DC at 11 AM and March to Sylvan theater for our big big big rally tomorrow beginning at 12:30 PM at Sylvan! Let’s do this!!!! #UNSILENT #WalkAway""",1
130,"""Count me in!  #MakeAmericaGreatAgain""",1
131,"""@realDonaldTrump This is my father-in-law, Mr. Donald Pertuset.  He is a 90+ yo Korean War Navy Veteran, father, grandfather, great-grandfather, and great-great-grandfather. He is one of your biggest supporters and wants everyone to know it.  #Trump2020 #MakeAmericaGreatAgain https://t.co/bRDjFSJRcD""",1
132,"""Wonder whatever happened to this absolute moron?\n#WearAMask #COVIDIOTS #StupidPeople #TrumpSupporters \nhttps://t.co/LlGHllCUwL""",0
133,"""I vote Trump #2020 #usa #🇺🇸🇺🇸 #MakeAmericaGreatAgain https://t.co/WVbNApYfD3""",1
134,"""The #TrumpTrain running on all cylinders!\nBut the Biden Bus done broke down\n#BidenBusDoneBrokeDown""",1
135,"""#TrumpSupporters Please use good self care right now!! Stay Healthy! We are no good as a TEAM 🇺🇸 if we can’t make it to the polls, tweet, rally, boat parades, truck parades..he needs US! #FluShot2020 https://t.co/9HUTDNkWXd""",1
136,"""So #TrumpHasCovid and there are all these people spewing hate and wishing that he die. \n\nPersonally, I don’t wish that from hate.  \n\nI just think it might be an expedient way to deal with a problem and find a quick way to #MakeAmericaGreatAgain   💁🏼‍♂️""",1
137,"""#CoronavirusExpress #TrumpTrain is in full speed.""",1
138,"""@realDonaldTrump #Trump2020 Campaign Scorecard 09/23/20\n\n#Trump's achieved 102.5% of his goal to have 200,000 Americans die from COVID-19\n\n#Trump's achieved 97.8% of his goal to lose his 7th TRILLION DOLLARS while in office\n\n#Trump's #CovidSuperSpreaderEvents will kill #TrumpSupporters &amp; Families""",0
139,"""People not wearing masks giving me dirty looks for giving them dirty looks for not wearing masks are a whole new level of go fuck yourself.""",0
140,"""Not all heroes wear capes.\n\nThis is my America... https://t.co/1GXhuPTmB9""",2
141,"""Calling #TrumpSupporters bigots does not offend them. They are offended by “PC culture” and when #trump makes offensive remarks, it makes them like him more. We need to stop engaging and attacking and just laughing at them. Like when someone is mad at you in traffic a friendly...""",0
142,"""AMAZING! HUGE crowds for #walkaway in Washington DC! “We must vote Republican across the board to SAVE OUR COUNTRY! 🇺🇸🇺🇸🇺🇸 @BrandonStraka @realDonaldTrump https://t.co/vLhQNA799x""",1
143,"""When I have #TrumpSupporters trying to run me down cause I stand up for #BlackLivesMatter https://t.co/2k0DQXSMhN""",0
144,"""NextGen Is A Joke They Are Lucky To Get A Handful Of Retweets There Is No Youth Mobilization For Your Party Of Hate Kelly Is A China Puppet &amp; Will Sell Out America\n#Trump2020 \n#VoteRedToSaveAmerica \n#BackTheBlue\n#GodBlessAmerica \n#VoteMcSally\n#BuildTheWall\nhttps://t.co/1wvufmiuH8""",1
145,"""Lets Go President TRUMP!!!!!! 🇺🇸🇺🇸🇺🇸 #MakeAmericaGreatAgain #PresidentialDebate2020 https://t.co/pHIObXfe72""",1
146,"""You’re f*insane. All #TrumpSupporters are nuts. Kool-aid drinkers. How do u explain him down-playing it after knowing how serious it was? Its on a recording for everyone to hear he just said it hardly affects anyone &amp; only older people #TrumpLied200KAmericansdied wear a damn mask""",0
147,"""Support the border wall? Our #BuildTheWall mug is a real conversation starter! Click the link to get yours today: https://t.co/PyLeEXWtYx""",1
148,"""This #TrumpTrain is approximately 7 miles long. That’s approximately 4,000 vehicles. Conservatively 12,000 patriotic Americans showing their love for their country. #GodBlessAmerica #Trump2020 #LetFreedomRing #TheRealDonaldTrump #TheRealDonaldJTrump https://t.co/NLgQ1Wx29b""",1
149,"""JASON MILLER IS A BITCH!\n\n@JasonMillerinDC \nDon’t make excuses for your presidents refusal to condemn\nThe Proud Boys.""",2
150,"""I was 2 years old when Biden was elected to the Senate. So yes, I agree. Let’s #DrainTheSwamp""",1
151,"""@realDonaldTrump Get well soon, Mr. President! #MAGA""",1
152,"""Open Tweet to #MAGA, when we elected Trump to be our President, we've opened Pandora's box, please realize this.""",0
154,"""850 Americans died of COVID-19 yesterday.\nNone got the special “antibody cocktail.”""",2
156,"""It is not too late to switch your ticket! #trumptrain https://t.co/PtQb7IL1hq""",1
157,"""@realDonaldTrump @realDonaldTrump is the the same lady you show under “radical left “???? Seems to me that you are using her in lots of campaign ads for many different things. So tell me is she “radical left” or a #TrumpSupporters ??? #BidenHarris2020 https://t.co/I40pQQr8qa""",0
158,"""White BLM protestor telling crowd “Black Lives Matter” is confronted by black #WalkAway activist saying tell him “All Lives Matter!” https://t.co/9fcf27d54E""",0
159,"""May God protect you\n\n#MAGA #Trump2020 https://t.co/Hy7XygPqNB""",1
160,"""It happen to anyone! Wear a mask in public people!""",2
161,"""“I mean, do you even personally know anyone who has this so-called coronavirus?”\n\n#TrumpSupporters""",1
162,"""TO ALL TRUMP SUPPORTERS!! JUDAS SOUL HIS SOUL FOR 30 PIECES OF SILVER, WHAT WAS YOUR PRICE?!!! #TrumpSupporters #religious #Christians #lies #Hypocrites #TrumpFailed #Unbelievers #falseprophets #judas #racism #church""",0
163,"""Hope Hicks, who has been working so hard without even taking a small break, has just tested positive for Covid 19. Terrible! The First Lady and I are waiting for our test results. In the meantime, we will begin our quarantine process!""",1
164,"""For a Good Time Call @KamalaHarris """,2
165,"""Go figure, Bannon’s grubby little fingers are all over this one.... Wonder how that stealing from the, #BuildTheWall fund, is coming along. Grifters gonna grift.""",2
166,"""Border Patrol Agent Repeatedly Stabbed, Manages To Take Out His Would-Be Killer - The Police Tribune #BuildTheWall #LawandOrder https://t.co/MnvSEN1xri""",1
167,"""i was watching @TheBoysTV""",2
168,"""@JoeBiden @PattyLehner Did you see what going on @CityofFairfaxVA? #TrumpSupporters are blocking entrance to early voting. And appears @FairfaxCityPD is doing nothing to stop the #VoterSuppression""",0
169,"""There's more money laundering on K Street than the drug cartels could ever dream of. #DrainTheSwamp""",0
171,"""Is this a New York or New Jersey accent? I can’t tell. https://t.co/lPd8nm8rGY""",2
172,"""Roll Call: WHO LOVES PRESIDENT TRUMP?!? #MAGA @realDonaldTrump 🇺🇸🇺🇸🇺🇸🇺🇸""",1
173,"""Lmao!!! #TrumpHasCovid 🤣 You can pray for him. I'll just #standbackandstandby 😂 let #COVID19 do gods work #trumpsupporters suck 😂 #karensgonewild @realDonaldTrump #karma #coronavirus #JusticeforBreonnaTaylor #LafayetteShooting #traderjoesshooting #murder #PoliceBrutality https://t.co/wkyVaRTjUH""",1
174,"""History repeats itself but those who turn a blind eye are doomed to repeat it. In 2005, #Obama had no problem meeting with \""",2
175,"""this is for everyone making fun of Trump 😡 #JusticeforTrump #MakeAmericaGreatAgain https://t.co/EZ3Hi7AKuV""",1
176,"""@realDonaldTrump Sound familiar! This is what the left is pushing! #DrainTheSwamp #BlueLivesMatter #4MoreYears https://t.co/UIKaUzB4Qk""",1
177,"""20% of this country is holding the other 80% hostage with overt lies, conspiracy theories, racism, homophobia, &amp; antiquated \""",0
178,"""I am going on record- I believe we are going to hear that Mexico will pay for the wall... before the election. \n#BuildTheWall""",1
179,"""And now .. what some of you have been waiting for: Scenes from Pres. Donald Trump's rally at Grand Aire airport in Swanton, Ohio on Monday, Sept. 21. #trump #trumpsupporters #photojournalism #onassignment https://t.co/2YUyixMluI""",1
180,"""2 died of Ebola: They said Barack Obama should resign. \n\n4 died in Benghazi: They had Hillary Clinton testify for 11 hours, held 33 hearings, and launched a multiyear probe.\n\n203,447 died thanks to Donald Trump’s gross incompetence: They cheered him on, and demand 4 more years.""",1
181,"""Can a career politician change his spots?\n\n#DrainTheSwamp https://t.co/J1G9dkVboQ""",2
182,"""GOD BLESS AMERICA #MAGA #Trump2020 https://t.co/eJZjpzSY4I""",2
183,"""by 55%-39%, white men in new Quinnipiac national poll favor Trump over Biden\n\nby 53%-43%, white men also say Trump is dishonest""",2
184,"""Trump's COVID19 diagnosis must be scary news for a group of people who aren't in the headlines""",2
185,"""Karma is a b*tch. Trump \""",2
186,"""87 year old republican Chuck Grassley refuses to get tested despite being at the WH event. Republicans really are that fucking selfish and stupid. #VoteBlue2020 #maga""",0
187,"""Remember in November when YOU vote\n\nDems don't give a damn about you, your family \n\n#walkaway #buildthewall #borders #maga https://t.co/kcH1BZjSAv"""1
188,"""I have read every @StephenKing novel and am a big fan especially because he has a #corgi but let’s not be evil as we need to take the high road and not stoop below the #TrumpSupporters""",0
189,"""@DiamondandSilk My Money Is On President Donald J @realDonaldTrump\n\nWithin almost 4 yrs Pres Trump has done amazing things – 47 yrs #JimCrowJoe hasn’t done anything.\n\nIf you are on the fence get off the fence walk through the gate drop on the #TrumpTrain &amp; Vote for Donald J Trump https://t.co/oaL1TnRRUK""",1
190,"""People want respect for our Anthem and our Flag. Ratings will only get worse! Didn’t we go through this once before?""",1
